Water plant mk1: RUN
Date Time Aloe Palm
2019-02-21 18:07:42.697343 0 0
Water plant mk1: RUN
Date Time Aloe Palm
2019-02-21 18:08:53.189760 0 0
Water plant mk1: RUN
Date Time Aloe Palm
2019-02-23 21:34:41.072827 0 0
2019-02-23 21:49:41.173131 0 0
2019-02-23 22:04:41.273369 0 0
2019-02-23 22:19:41.373659 0 0
2019-02-23 22:34:41.473727 0 0
2019-02-23 22:49:41.574031 0 0
2019-02-23 23:04:41.674210 0 0
2019-02-23 23:19:41.774522 0 0
2019-02-23 23:34:41.874719 0 0
2019-02-23 23:49:41.975055 0 0
2019-02-24 00:04:42.075237 0 0
2019-02-24 00:19:42.175587 0 0
2019-02-24 00:34:42.275751 0 0
2019-02-24 00:49:42.376067 0 0
2019-02-24 01:04:42.476279 0 0
2019-02-24 01:19:42.576593 0 0
2019-02-24 01:34:42.676789 0 0
2019-02-24 01:49:42.777104 0 0
2019-02-24 02:04:42.877264 0 0
2019-02-24 02:19:42.977600 0 1
2019-02-24 02:34:43.077819 0 1
2019-02-24 02:49:43.178149 0 1
2019-02-24 03:04:43.278326 0 1
2019-02-24 03:19:43.378651 0 1
2019-02-24 03:34:43.478800 0 1
2019-02-24 03:49:43.579090 0 1
2019-02-24 04:04:43.679254 0 1
2019-02-24 04:19:43.779558 0 1
2019-02-24 04:34:43.879753 0 1
2019-02-24 04:49:43.980054 0 1
2019-02-24 05:04:44.080214 0 1
2019-02-24 05:19:44.180521 0 1
2019-02-24 05:34:44.280849 0 1
2019-02-24 05:49:44.381157 0 1
2019-02-24 06:04:44.481345 0 1
2019-02-24 06:19:44.581664 0 1
2019-02-24 06:34:44.681861 0 1
2019-02-24 06:49:44.782193 0 1
2019-02-24 07:04:44.882373 0 1
2019-02-24 07:19:44.982698 0 1
2019-02-24 07:34:45.082860 0 1
2019-02-24 07:49:45.183159 0 1
2019-02-24 08:04:45.283338 0 1
2019-02-24 08:19:45.383664 0 1
2019-02-24 08:34:45.483821 0 1
2019-02-24 08:49:45.584116 0 1
2019-02-24 09:04:45.684288 0 1
2019-02-24 09:19:45.784582 0 1
2019-02-24 09:34:45.884852 0 1
Water plant mk1: RUN
Date Time Aloe Palm
2019-02-24 09:35:46.965696 0 1
notification mail sent
2019-02-24 09:50:47.692392 0 0
2019-02-24 10:05:47.792343 0 0
2019-02-24 10:20:47.892443 0 0
2019-02-24 10:35:47.992562 0 0
2019-02-24 10:50:48.092670 0 0
2019-02-24 11:05:48.192801 0 0
2019-02-24 11:20:48.293165 0 0
2019-02-24 11:35:48.393373 0 0
2019-02-24 11:50:48.493422 0 0
2019-02-24 12:05:48.593554 0 0
2019-02-24 12:20:48.693708 0 0
2019-02-24 12:35:48.793860 0 0
2019-02-24 12:50:48.894027 0 0
2019-02-24 13:05:48.994167 0 0
2019-02-24 13:20:49.094297 0 0
2019-02-24 13:35:49.194415 0 0
2019-02-24 13:50:49.294549 0 0
2019-02-24 14:05:49.394710 0 0
2019-02-24 14:20:49.494846 0 0
2019-02-24 14:35:49.594976 0 0
2019-02-24 14:50:49.695117 0 0
2019-02-24 15:05:49.795361 0 0
2019-02-24 15:20:49.895443 0 0
2019-02-24 15:35:49.995570 0 0
2019-02-24 15:50:50.095689 0 0
2019-02-24 16:05:50.195805 0 0
2019-02-24 16:20:50.295935 0 0
2019-02-24 16:35:50.396043 0 0
2019-02-24 16:50:50.496183 0 0
2019-02-24 17:05:50.596299 0 0
2019-02-24 17:20:50.696438 0 0
2019-02-24 17:35:50.796689 0 0
2019-02-24 17:50:50.896823 0 0
2019-02-24 18:05:50.996968 0 0
2019-02-24 18:20:51.097133 0 0
2019-02-24 18:35:51.195463 0 0
2019-02-24 18:50:51.295583 0 0
2019-02-24 19:05:51.395913 0 0
2019-02-24 19:20:51.496088 0 0
2019-02-24 19:35:51.596425 0 0
2019-02-24 19:50:51.696771 0 0
2019-02-24 20:05:51.797105 0 0
2019-02-24 20:20:51.897450 0 0
2019-02-24 20:35:51.997780 0 0
2019-02-24 20:50:52.094230 0 0
2019-02-24 21:05:52.187035 0 0
2019-02-24 21:20:52.287147 0 0
2019-02-24 21:35:52.387489 0 0
2019-02-24 21:50:52.487833 0 0
2019-02-24 22:05:52.588166 0 0
2019-02-24 22:20:52.688324 0 0
2019-02-24 22:35:52.788645 0 0
2019-02-24 22:50:52.796019 0 0
2019-02-24 23:05:52.869010 0 0
2019-02-24 23:20:52.880519 0 0
2019-02-24 23:35:52.959441 0 0
2019-02-24 23:50:53.059778 0 0
2019-02-25 00:05:53.160124 0 0
2019-02-25 00:20:53.260466 0 0
2019-02-25 00:35:53.360799 0 0
2019-02-25 00:50:53.461031 0 0
2019-02-25 01:05:53.561373 0 0
2019-02-25 01:20:53.661566 0 0
2019-02-25 01:35:53.761914 0 0
2019-02-25 01:50:53.862044 0 0
2019-02-25 02:05:53.962385 0 0
2019-02-25 02:20:54.062464 0 0
2019-02-25 02:35:54.162773 0 0
2019-02-25 02:50:54.263052 0 0
2019-02-25 03:05:54.363368 0 0
2019-02-25 03:20:54.463527 0 0
2019-02-25 03:35:54.563855 0 0
2019-02-25 03:50:54.664204 0 0
2019-02-25 04:05:54.764543 0 0
2019-02-25 04:20:54.864884 0 0
2019-02-25 04:35:54.965212 0 0
2019-02-25 04:50:55.065581 0 0
2019-02-25 05:05:55.165928 0 0
2019-02-25 05:20:55.266267 0 0
2019-02-25 05:35:55.366609 0 0
2019-02-25 05:50:55.466701 0 0
2019-02-25 06:05:55.545586 0 0
2019-02-25 06:20:55.645659 0 0
2019-02-25 06:35:55.745982 0 0
2019-02-25 06:50:55.846073 0 0
2019-02-25 07:05:55.946384 0 0
2019-02-25 07:20:56.046497 0 0
2019-02-25 07:35:56.146838 0 0
2019-02-25 07:50:56.246963 0 0
2019-02-25 08:05:56.316144 0 0
2019-02-25 08:20:56.416300 0 0
2019-02-25 08:35:56.516617 0 0
2019-02-25 08:50:56.616768 0 0
2019-02-25 09:05:56.717084 0 0
2019-02-25 09:20:56.817111 0 0
2019-02-25 09:35:56.917434 0 0
2019-02-25 09:50:57.017534 0 0
2019-02-25 10:05:57.117827 0 0
2019-02-25 10:20:57.218171 0 0
2019-02-25 10:35:57.318508 0 0
2019-02-25 10:50:57.418690 0 0
2019-02-25 11:05:57.519006 0 0
2019-02-25 11:20:57.619186 0 0
2019-02-25 11:35:57.719535 0 0
2019-02-25 11:50:57.819686 0 0
2019-02-25 12:05:57.919960 0 0
2019-02-25 12:20:58.020116 0 0
2019-02-25 12:35:58.065394 0 0
2019-02-25 12:50:58.165510 0 0
2019-02-25 13:05:58.265801 0 0
2019-02-25 13:20:58.366145 0 0
2019-02-25 13:35:58.385384 0 0
